placeCode,name,glofasStation
ET071802,Menit Goldiye,no_station
ET150103,Sabian,no_station
ET010214,Rama,no_station
ET040901,Mieso,no_station
ET030511,Mojan Wedera,no_station
ET160028,Shafamo,no_station
ET030705,Sekela,no_station
ET040817,Munessa,no_station
ET040118,Sayo Nole,no_station
ET042018,Sendafa town,no_station
ET030501,Mida Woremo,no_station
ET040594,Meta Walkite,no_station
ET041812,Sedi Chenka,no_station
ET030411,Sayint,no_station
ET070118,Misrak Meskan,no_station
ET010408,Ofla,no_station
ET040508,Nono,no_station
ET030207,Semada,no_station
ET042016,Mulo,no_station
ET050501,Shaygosh,no_station
ET030806,Sahila,no_station
ET010107,Sheraro town,no_station
ET010407,Raya Alamata,no_station
ET010110,Seyemti Adyabo,no_station
ET071709,Disa,no_station
ET030609,Michakel,no_station
ET041009,Meta,no_station
ET071107,Mizan Aman town,no_station
ET030521,Menze Keya Gabriel,no_station
ET071003,Selamber town,no_station
ET040215,Nunu Kumba,no_station
ET072006,Sankura,no_station
ET050497,Qubi,no_station
ET041310,Seden Sodo,no_station
ET040199,Nejo town,no_station
ET051187,Mubarek,no_station
ET041119,Robe Town,no_station
ET030509,Menze Mama Midir,no_station
ET070205,Misrak Badawacho,no_station
ET010406,Raya Azebo,no_station
ET041018,Meyu Muleke,no_station
ET042006,Sebeta Hawas,no_station
ET030616,Senan,no_station
ET071506,O'yida,no_station
ET031214,Quara,no_station
ET071302,Segen Zuria,no_station
ET041702,Shala,no_station
ET040313,Sale Nono,no_station
ET040812,Robe,no_station
ET020105,Mile,G1053
ET030215,Nefas Mewicha town,no_station
ET072013,Misirak Silti,no_station
ET030694,Mota Town,no_station
ET040411,Omo Nada,no_station
ET040499,Nono Benja,no_station
ET010109,Selekleka,no_station
ET071507,Sawla town,no_station
ET030214,Sede Muja,no_station
ET071104,Shay Bench,no_station
ET060405,Mizyiga,no_station
ET070509,Rape,no_station
ET150114,Police Maret,no_station
ET070209,Mirab Badowach,no_station
ET051005,Sagag,no_station
ET140102,Nefas Silk,no_station
ET030802,Sekota,no_station
ET040811,Seru,G5076
ET070703,North Ari,no_station
ET070901,Saylem,no_station
ET130102,Shenkor,no_station
ET040209,Sibu Sire,no_station
ET070217,Mirab Soro,no_station
ET040797,Mojo Town,no_station
ET031223,Midre Genet,no_station
ET030619,Sedae,no_station
ET010209,Naeder,no_station
ET040893,Shanan Kolu,no_station
ET042104,Rayitu,no_station
ET060206,Pawe,no_station
ET040403,Sekoru,no_station
ET070212,Shone Town,no_station
ET041314,Sodo Daci,no_station
ET060304,Sherkole,no_station
ET072007,Misrak Azenet Berbere,no_station
ET050606,Mustahil,G1904
ET072004,Mierab Azenet Berbere,no_station
ET030504,Moretna Jiru,no_station
ET040211,Sasiga,no_station
ET050103,Shinile,G4954
ET040491,Omo Beyam,no_station
ET050809,Raso,no_station
ET010601,Saharti,no_station
ET050204,Shabeeley,no_station
ET010401,Selewa,no_station
ET041711,Shashemene town,no_station
ET041109,Sinana,no_station
ET010606,Samre,no_station
ET041405,Odo Shakiso,no_station
ET070206,Soro,no_station
ET070216,Siraro Badawacho,no_station
ET030701,Semen Achefer,G4977
ET030595,Shoa Robit,no_station
ET041412,Saba Boru,no_station
ET160001,Shebe Dino,no_station
ET041499,Shakiso town,no_station
ET040404,Tiro Afeta,no_station
ET010104,Tahtay Koraro,no_station
ET070906,Tullo,no_station
ET041902,Shambu town,no_station
ET071108,Size town,no_station
ET030510,Tarema Ber,no_station
ET040409,Seka Chekorsa,no_station
ET042005,Sululta town,no_station
ET050295,Wajale town,no_station
ET041296,Yabelo town,no_station
ET030405,Thehulederie,no_station
ET050805,West Imi,G1907
ET050704,Warder,no_station
ET041802,Yama Logi Welel,no_station
ET040112,Yubdo,no_station
ET030206,Tach Gayint,no_station
ET072002,Silti,no_station
ET020403,Teru,no_station
ET031107,Tsegede (AM),no_station
ET040413,Setema,no_station
ET050503,Shilabo,no_station
ET130101,Sofi,G5068
ET042014,Welmera,no_station
ET072010,Worabe town,no_station
ET071504,Uba Debre Tsehay,no_station
ET030211,West Esite,no_station
ET041219,Dilo,no_station
ET070310,Shinshincho town,no_station
ET040414,Shebe Sambo,no_station
ET030523,Siya Debirna Wayu,no_station
ET030305,Wadla,no_station
ET010206,Tahtay Mayechew,no_station
ET040813,Tena,no_station
ET030416,Wegde,no_station
ET010106,Tselemti,no_station
ET040816,Tiyo,no_station
ET030309,Woldiya town,no_station
ET071101,Sheko,no_station
ET070512,Yirgachefe town,no_station
ET160036,Wondo-Genet town,no_station
ET070105,Sodo,no_station
ET050498,Yahob,no_station
ET040412,Sigmo,no_station
ET010314,Tsaeda Emba,no_station
ET040509,Tikur Enchini,G6110
ET070914,Wacha,no_station
ET030711,Wemberma,no_station
ET120104,Wantawo,G5056
ET010222,Tanqua Melashe,no_station
ET070913,Shisho Ande,no_station
ET041302,Wenchi,no_station
ET010608,Wajirat,no_station
ET030402,Tenta,no_station
ET031109,Wegera,no_station
ET160019,Wondo-Genet,no_station
ET010113,Tsimbla,no_station
ET041308,Tole,no_station
ET010309,Wukro town,no_station
ET070804,Tepi,no_station
ET041701,Siraro,no_station
ET040808,Sude,no_station
ET040903,Tulo (OR),no_station
ET041797,Wondo,no_station
ET070502,Yirgachefe,no_station
ET071402,Wera,no_station
ET040517,Toke Kutaye,no_station
ET071503,Zala,no_station
ET040608,Wuchale,no_station
ET150207,Wahil,no_station
ET030997,Zigem,no_station
ET070613,Sodo Town,no_station
ET071707,Tercha Zuriya,no_station
ET030293,Woreta town,no_station
ET070114,Welkite town,no_station
ET041212,Teltale,G5173
ET030808,Tsagbeji,no_station
ET010413,Zata,no_station
ET040216,Wama Hagalo,no_station
ET031125,West Dembiya,no_station
ET040614,Yaya Gulele,no_station
ET040415,Chora (Jimma),no_station
ET072009,Tora town,no_station
ET031116,West Belesa,no_station
ET070605,Sodo Zuria,no_station
ET070711,Wub Ari,no_station
ET072401,Yem SP Woreda,G6109
ET041303,Waliso,no_station
ET050382,Yocale,no_station
ET070501,Wenago,G4979
ET140107,Yeka,no_station
ET030119,Telemt,no_station
ET040601,Wara Jarso,no_station
ET030415,Were Ilu,no_station
ET071701,Tocha,no_station
ET041298,Wachile,no_station
ET030422,Worebabu,G1045
ET040806,Ziway Dugda,no_station
ET010318,Zala Anbesa town,no_station
ET041408,Dama,no_station
ET040206,Wayu Tuka,no_station
ET160013,Wonosho,no_station
ET041404,Wadera,no_station
ET040309,Yayu,no_station
ET071710,Zabagazo,no_station
ET040312,Bure (OR),no_station
ET020501,Telalek,no_station
ET071404,Wera Djo,no_station
ET042106,Dawe Ketchen,no_station
ET031122,Kinfaz,no_station
ET010509,May Gaba,no_station
ET050502,Kebridehar,no_station
ET071303,Karat Zuria,no_station
ET010221,Keyhe tekli,no_station
ET030410,Legambo,no_station
ET050297,Koran /Mulla,no_station
ET020202,Kunneba,no_station
ET041811,Lalo Kile,no_station
ET030202,Libokemekem,G4965
ET071702,Mareka,no_station
ET030409,Dessie Zuria,no_station
ET040501,Ginde Beret,no_station
ET160020,Yirgalem town,no_station
ET031199,Aykel town,no_station
ET070210,Gibe,no_station
ET040116,Begi,no_station
ET140110,Gulele,no_station
ET070614,Areka town,no_station
ET041596,Birbirsa Kojowa,no_station
ET040106,Boji Dirmeji,no_station
ET040513,Adda Berga,no_station
ET070621,Abela Abaya,no_station
ET010311,Edaga Hamus town,no_station
ET041301,Ameya,no_station
ET020109,Adar,no_station
ET040609,Abichugna Gne'a,no_station
ET041411,Ana Sora,no_station
ET050306,Bilcil-Bur,no_station
ET030712,Bahir Dar town,no_station
ET041016,Girawa,no_station
ET020103,Asayita,G1045
ET040208,Gobu Seyo,no_station
ET040810,Amigna,no_station
ET041517,Gelana (West Guji),no_station
ET030718,Gonje,no_station
ET041606,Gechi,no_station
ET030303,Gidan,no_station
ET030307,Guba Lafto,no_station
ET041497,Gumi Idalo,no_station
ET040203,Gida Ayana,no_station
ET050903,Goro Baqaqsa,no_station
ET041223,Gomole,no_station
ET040807,Hitosa,no_station
ET070606,Kindo Koyesha,no_station
ET031003,Jilye Tumuga,no_station
ET040418,Jimma town,no_station
ET120407,Itang,G1603
ET041004,Babile (OR),no_station
ET042009,Sebeta town,no_station
ET040110,Boji Chekorsa,no_station
ET040804,Jeju,no_station
ET040998,Burqua Dhintu,no_station
ET040207,Bila Seyo,no_station
ET040301,Darimu,no_station
ET072304,Derashe Special,no_station
ET030901,Dangila,no_station
ET160025,Dara Otilicho,no_station
ET040519,Ifata,no_station
ET050899,God-God,no_station
ET050608,Berocano,no_station
ET040910,Boke,no_station
ET050702,Bokh,no_station
ET041710,Adaba,no_station
ET030401,Argoba,no_station
ET041122,Dinsho,no_station
ET040902,Doba,no_station
ET040315,Bilo Nopha,no_station
ET040823,Bele Gesgar,no_station
ET010402,Bora (TG),no_station
ET040706,Ada'a,no_station
ET030406,Delanta,no_station
ET050902,Dolo Odo,G5141
ET060404,Dembi,no_station
